name,address,lat,lon,charging_availability_id,total_connectors,available_connectors,occupied_connectors,reserved_connectors,unknown_connectors,out_of_service_connectors,max_power_kw
Clever,"Howitzvej 26, 2000 Frederiksberg",55.679885,12.529706,b248e413-e4f4-41ba-8655-225876a5810a,2,0,2,0,0,0,22.0
"Frederiksberg Hospital (vej 9, opgang 10)","Tesdorpfsvej 19, 2000 Frederiksberg",55.685861,12.520669,,0,0,0,0,0,0,
E.ON Drive,"Tesdorpfsvej 19, 2000 Frederiksberg",55.685864,12.520733,035b1055-3a96-8bc8-809b-d5a6b00bbde0,2,1,1,0,0,0,22.0
Clever,"Sagasvej 10, 1862 Frederiksberg C",55.67935,12.535201,8a46c5b1-672f-473c-a2f4-3e4070f13844,4,3,1,0,0,0,22.0
Clever,"Falkoner Allé 9, 2000 Frederiksberg",55.680117,12.532274,14026d60-a95c-4a02-b6e7-90fd044cf614,8,7,0,0,0,1,22.0
E.ON Drive,"Falkoner Allé 21, 2000 Frederiksberg",55.681638,12.532665,c135e581-9caa-46d8-91cd-9697d0f5f34c,6,2,4,0,0,0,22.0
E.ON Drive,"Solbjerg Plads 3, 2000 Frederiksberg",55.68193,12.530355,,0,0,0,0,0,0,
Virta,"Solbjerg Plads 3, 2000 Frederiksberg",55.682278,12.531151,,0,0,0,0,0,0,
Rolfsvej 3,"Rolfsvej 3, 2000 Frederiksberg",55.68309,12.535429,,0,0,0,0,0,0,
OK,"Rolfsvej 9, 2000 Frederiksberg",55.683195,12.534937,08fe718a-f446-833e-812a-f1a8c3e89a13,6,5,1,0,0,0,40.0
Clever,"Yrsavej 9, 2000 Frederiksberg",55.68335,12.531583,45782418-0430-42aa-b1d2-bcecdfba1c38,8,2,6,0,0,0,11.0
E.ON Drive,"Dyrlægevej 2, 1870 Frederiksberg",55.678531,12.541972,476addfa-a7e0-4247-8f7f-0cf2c6c85ae7,4,4,0,0,0,0,22.0
Clever,"Sankt Nikolaj Vej 4, 1953 Frederiksberg C",55.682973,12.536806,9527a0ff-ffdb-4edd-b5e3-f39c7ec6268b,8,6,2,0,0,0,22.0
EDF Danmark A/S,"Helgesvej 21, 2000 Frederiksberg",55.684265,12.533535,96792f28-58ac-4fae-852e-4ace28082599,4,3,1,0,0,0,22.0
Clever,"N.J. Fjords Allé 17, 1957 Frederiksberg C",55.682347,12.541112,f6fb6d5d-d925-4bd0-8ced-b9c42cddc136,6,3,3,0,0,0,22.0
Clever,"Helgesvej 29, 2000 Frederiksberg",55.684672,12.531753,6753563b-8af4-4fe5-be50-e2fb009cd2c7,2,2,0,0,0,0,22.0
Spirii,"Roarsvej 19, 2000 Frederiksberg",55.684556,12.535095,4c765c81-5246-40e5-9d8e-694299d24fdc,6,3,3,0,0,0,22.0
Clever,"Bentzonsvej 7, 2000 Frederiksberg",55.68424,12.52819,d192f29d-fc0e-49ed-9bef-6fa07d55ead4,6,3,3,0,0,0,22.0
OK,"Aksel Møllers Have 26, 2000 Frederiksberg",55.684945,12.531896,22a42af0-ffeb-873a-8888-0912305d7af7,4,2,1,0,0,1,40.0
Norlys,"Rolighedsvej 26, 1958 Frederiksberg C",55.682313,12.542436,346613f3-b2fc-8b89-b1b8-5187e5e688d2,3,3,0,0,0,0,22.0
E.ON Drive,"Langelands Plads, 2000 Frederiksberg",55.685005,12.529641,,0,0,0,0,0,0,
EDF Danmark A/S,"Aksel Møllers Have 18, 2000 Frederiksberg",55.685359,12.532279,6f795eee-2dae-47ca-9c17-fc5b7b9c6282,12,7,5,0,0,0,22.0
OK,"Langelands Plads 1, 2000 Frederiksberg",55.685261,12.529813,1e5a2e01-3e69-48e0-8e53-684133e303ed,20,16,4,0,0,0,40.0
Clever,"Amalievej 17, 1875 Frederiksberg",55.67878,12.546202,b9b5e1af-ff97-47c6-8d09-8d864935cf38,8,4,4,0,0,0,11.0
EDF Danmark A/S,"Harsdorffsvej 4A, 1874 Frederiksberg",55.67926,12.546257,d9a9f51c-d62c-4653-8090-8b7b9de283ad,4,2,2,0,0,0,22.0
Clever,"Doktor Abildgårds Allé 2, 1955 Frederiksberg",55.68449,12.54126,23fd7f2f-9572-83cd-8307-735a488ae039,4,3,1,0,0,0,22.0
Clever,"L.I. Brandes Allé 1, 1956 Frederiksberg C",55.684222,12.542308,ef51fe39-6769-4b77-9005-4c199bf21ddb,6,2,4,0,0,0,11.0
Clever,"Forchhammersvej 29, 1920 Frederiksberg C",55.680365,12.549694,28fd1994-0065-40ea-993b-ce5a418924f6,8,3,5,0,0,0,22.0
Spirii,"Julius Thomsens Plads 1, 1925 Frederiksberg",55.68016,12.553026,245f17e0-b6a5-4b08-a8f4-f55e8eb3b538,4,3,0,0,0,1,400.0
Clever,"Julius Thomsens Plads 2, 1925 Frederiksberg C",55.680397,12.552694,1bbed8b5-e0f3-4564-8921-85a45110bba2,8,3,5,0,0,0,22.0
OK,"Forchhammersvej 2, 1920 Frederiksberg",55.679419,12.554315,1d63431a-6439-858a-8cbb-37cbff11d705,6,3,3,0,0,0,40.0
OK,"Steenstrups Allé 13, 1924 Frederiksberg",55.68134,12.551721,2de4e80c-0496-8273-b7f6-ad2eb9bb6057,4,3,1,0,0,0,40.0
Norlys,"Vodroffsvej 32, 1900 Frederiksberg",55.679055,12.555157,bb404bb5-d215-4bed-bae8-12be90b2decc,4,3,1,0,0,0,11.0
